Publication Years	records	% of 13030
2019	141	1.082
2018	453	3.477
2017	531	4.075
2016	523	4.014
2015	509	3.906
2014	514	3.945
2013	532	4.083
2012	573	4.398
2011	468	3.592
2010	513	3.937
2009	457	3.507
2008	388	2.978
2007	330	2.533
2006	409	3.139
2005	365	2.801
2004	342	2.625
2003	347	2.663
2002	369	2.832
2001	345	2.648
2000	329	2.525
1999	310	2.379
1998	294	2.256
1997	322	2.471
1996	255	1.957
1995	249	1.911
1994	259	1.988
1993	281	2.157
1992	171	1.312
1991	183	1.404
1990	162	1.243
1989	190	1.458
1988	162	1.243
1987	163	1.251
1986	163	1.251
1985	141	1.082
1984	173	1.328
1983	157	1.205
1982	88	0.675
1981	97	0.744
1980	48	0.368
1979	52	0.399
1978	62	0.476
1977	49	0.376
1976	74	0.568
1975	42	0.322
1974	62	0.476
1973	55	0.422
1972	68	0.522
1971	44	0.338
1970	39	0.299
1969	53	0.407
1968	45	0.345
1967	37	0.284
1966	42	0.322
(0 Publication Years value(s) outside display options.)
(0 records (0.000%) do not contain data in the field being analyzed.)
