Source Titles	records	% of 13030
JOURNAL OF SYMBOLIC LOGIC	3944	30.269
ANNALS OF PURE AND APPLIED LOGIC	2232	17.130
MATHEMATICAL LOGIC QUARTERLY	1322	10.146
ARCHIVE FOR MATHEMATICAL LOGIC	1126	8.642
JOURNAL OF ALGORITHMS	852	6.539
LOGIC JOURNAL OF THE IGPL	749	5.748
STUDIA LOGICA	489	3.753
ALGEBRA AND LOGIC	479	3.676
REVIEW OF SYMBOLIC LOGIC	359	2.755
BULLETIN OF SYMBOLIC LOGIC	350	2.686
JOURNAL OF ALGORITHMS COGNITION INFORMATICS AND LOGIC	319	2.448
NOTRE DAME JOURNAL OF FORMAL LOGIC	319	2.448
JOURNAL OF APPLIED LOGIC	287	2.203
JOURNAL OF MATHEMATICAL LOGIC	117	0.898
REPORTS ON MATHEMATICAL LOGIC	65	0.499
LECTURE NOTES IN MATHEMATICS	21	0.161
STOCHASTIC CALCULUS WITH INFINITESIMALS	11	0.084
CONSTRUCTIVE COMMUTATIVE ALGEBRA PROJECTIVE MODULES OVER POLYNOMIAL RINGS AND DYNAMICAL GROBNER BASES	5	0.038
MODEL THEORY IN ALGEBRA ANALYSIS AND ARITHMETIC	5	0.038
(0 records (0.000%) do not contain data in the field being analyzed.)
